"Cycle"  "Average State"  "Average Threshold"  "Clusters"
   633   -0.0688   -0.1662      6604
   634   -0.0310   -0.1694      6545
   635    0.0061   -0.1628      6560
   636    0.0396   -0.1490      6273
   637    0.0676   -0.1286      5799
   638    0.0887   -0.1040      5576
   639    0.1038   -0.0762      5259
   640    0.1141   -0.0464      5354
   641    0.1224   -0.0152      5186
   642    0.1296    0.0185      5245
   643    0.1353    0.0534      5318
   644    0.1389    0.0884      5088
   645    0.1338    0.1218      4938
   646    0.1192    0.1500      5029
   647    0.0918    0.1696      5940
   648    0.0571    0.1797      6507
   649    0.0191    0.1796      6679
   650   -0.0185    0.1700      6956
   651   -0.0552    0.1516      7510
   652   -0.0857    0.1264      6941
   653   -0.1071    0.0966      6320
   654   -0.1214    0.0641      5862
   655   -0.1315    0.0296      5734
   656   -0.1367   -0.0046      5258
   657   -0.1373   -0.0391      5116
   658   -0.1351   -0.0724      5170
   659   -0.1313   -0.1049      5559
   660   -0.1224   -0.1344      6086
   661   -0.1072   -0.1591      6769
   662   -0.0825   -0.1769      7219
   663   -0.0473   -0.1845      7015
   664   -0.0084   -0.1817      6906
   665    0.0316   -0.1686      7009
   666    0.0682   -0.1465      6336
   667    0.0978   -0.1181      5598
   668    0.1160   -0.0864      5278
   669    0.1253   -0.0536      5411
   670    0.1283   -0.0212      5275
   671    0.1294    0.0115      5288
   672    0.1270    0.0432      5240
   673    0.1240    0.0737      5345
   674    0.1183    0.1031      5376
   675    0.1113    0.1299      5206
   676    0.0972    0.1528      5101
   677    0.0723    0.1679      5958
   678    0.0402    0.1737      6784
   679    0.0033    0.1703      7089
   680   -0.0326    0.1579      6868
   681   -0.0624    0.1383      6867
   682   -0.0861    0.1133      6645
   683   -0.1020    0.0854      6243
   684   -0.1098    0.0568      5597
   685   -0.1125    0.0281      5351
   686   -0.1143   -0.0006      5449
   687   -0.1139   -0.0293      5365
   688   -0.1112   -0.0568      5397
   689   -0.1069   -0.0830      5585
   690   -0.1007   -0.1079      6309
   691   -0.0883   -0.1282      6933
   692   -0.0670   -0.1426      7176
   693   -0.0403   -0.1493      6712
   694   -0.0121   -0.1489      6416
   695    0.0162   -0.1413      6471
   696    0.0423   -0.1281      6293
   697    0.0646   -0.1090      6011
   698    0.0820   -0.0859      5704
   699    0.0920   -0.0617      5499
   700    0.0975   -0.0369      5403
   701    0.0996   -0.0118      5386
   702    0.0986    0.0124      5536
   703    0.0968    0.0363      5753
   704    0.0960    0.0602      5815
   705    0.0966    0.0841      5484
   706    0.0939    0.1071      5080
   707    0.0837    0.1269      5349
   708    0.0627    0.1399      6242
   709    0.0379    0.1462      6629
   710    0.0102    0.1451      6452
